Time[s],RateRoll[deg/s],RatePitch[deg/s],RateYaw[deg/s],AccX[m/s^2],AccY[m/s^2],AccZ[m/s^2],Torque[Ncm]
18.38,-1.41,5.76,205.27,-8.73,2.67,0.24,-3.26
18.57,-0.91,5.91,203.18,-7.26,4.23,0.32,-2.02
18.58,-0.91,7.47,204.98,-5.89,1.31,1.37,-1.21
18.64,-1.84,8.85,201.1,-2.63,3.87,1.02,-1.1
18.73,-2.05,9.31,194.86,0.64,5.95,0.78,-1.6
18.81,-1.43,10.4,195.13,2.85,1.46,1.5,-2.41
18.93,-2.19,12.31,185.69,5.42,-0.87,1.3,-3.22
19.01,-2.72,12.79,175.78,7.76,-0.15,1.58,-3.71
19.1,-2.07,11.86,182.8,8.89,-3.57,2.78,-3.61
19.21,-1.66,11.16,177.47,9.29,-5.41,3.28,-2.78
19.29,-1.65,11.22,163.04,9.27,-2.51,3.88,-1.79
19.47,-1.76,10.87,167.0,8.09,-6.73,4.39,-1.13
19.48,-1.21,8.49,175.06,6.36,-7.6,3.63,-1.25
19.55,-0.87,5.62,167.89,4.4,-1.29,2.79,-2.08
19.66,-1.07,4.42,161.17,1.45,-5.62,2.94,-3.14
19.75,-1.12,5.32,168.47,-1.77,-8.47,2.88,-4.24
19.84,-0.9,4.56,170.72,-4.19,-1.75,2.25,-5.26
19.92,-0.32,0.87,166.3,-6.63,-0.07,2.1,-6.0
20.05,-0.05,-1.88,166.54,-8.5,0.29,1.52,-6.12
20.12,0.36,-3.62,166.42,-8.99,5.89,0.46,-5.53
20.2,0.64,-5.29,170.01,-9.29,9.1,0.62,-4.48
20.4,0.62,-7.14,170.36,-8.45,9.71,0.66,-3.11
20.4,0.25,-8.77,167.44,-6.62,11.44,-0.03,-1.81
20.49,0.84,-10.25,170.81,-4.39,12.08,-0.31,-1.07
20.57,1.31,-10.54,173.78,-1.92,9.66,-0.29,-0.87
20.67,0.78,-9.52,179.02,0.84,10.57,-0.09,-1.36
20.77,1.08,-9.46,180.52,3.72,11.45,-0.16,-2.16
20.86,1.22,-10.71,176.33,6.17,6.97,-0.61,-2.85
20.95,1.03,-10.92,185.59,8.49,5.13,-0.81,-3.41
21.05,0.9,-9.31,194.17,10.0,3.41,-0.95,-3.24
21.13,1.39,-8.44,193.24,10.06,-1.35,-1.11,-2.51
21.32,1.05,-7.49,202.49,9.57,-3.93,-1.36,-1.58
21.33,0.18,-6.72,215.28,9.2,-5.57,-1.89,-0.97
21.41,-0.33,-7.15,212.02,7.26,-9.02,-1.73,-1.13
21.5,-0.95,-4.97,204.22,4.39,-10.31,-1.15,-1.96
21.59,-1.08,-0.95,210.03,1.85,-9.91,-1.11,-3.02
21.69,-1.36,-1.08,218.78,-1.62,-11.6,-1.57,-4.1
21.78,-1.0,-2.54,211.91,-5.08,-10.53,-1.99,-5.15
21.85,-0.79,2.69,206.73,-7.54,-9.89,-0.94,-5.88
21.98,-1.91,8.64,206.9,-9.44,-10.98,0.46,-6.06
22.04,-2.86,8.94,198.67,-9.65,-5.02,0.19,-5.49
22.22,-2.77,8.73,193.47,-9.41,-1.32,0.39,-4.42
22.23,-2.32,9.74,191.94,-9.7,-2.75,1.38,-3.19
22.33,-2.71,10.47,184.46,-8.07,1.04,1.5,-1.93
22.41,-3.42,10.77,181.7,-5.56,3.17,1.76,-1.13
22.5,-2.72,9.7,181.09,-3.29,1.64,1.68,-1.0
22.59,-1.79,9.18,179.25,-0.24,3.22,1.64,-1.45
22.72,-2.25,9.88,169.93,2.86,6.07,2.3,-2.29
22.78,-2.29,8.58,164.8,5.63,8.65,2.44,-3.0
22.86,-1.66,6.45,174.81,7.98,10.71,2.59,-3.49
22.97,-1.48,5.54,169.47,9.27,5.66,3.16,-3.41
23.16,-1.34,5.75,159.88,9.94,2.31,3.17,-2.65
23.17,-1.68,7.48,168.03,9.79,2.91,3.22,-1.73
23.24,-1.23,9.45,170.26,8.12,-7.03,3.78,-1.05
23.33,-0.75,9.7,164.82,5.91,-13.7,3.98,-1.27
23.43,-1.95,9.16,175.5,3.72,-14.38,3.67,-2.06
23.51,-2.3,9.53,179.3,0.98,-17.27,3.17,-3.16
23.62,-0.76,10.44,177.23,-1.97,-16.5,2.22,-4.33
23.73,-0.26,10.9,190.04,-4.91,-17.4,1.53,-5.32
23.8,-1.95,10.02,198.28,-7.5,-17.35,1.66,-6.18
23.88,-2.47,7.81,196.43,-8.39,-8.19,0.28,-6.48
24.09,-1.16,5.39,207.24,-8.92,-0.81,-0.73,-5.99
24.1,0.38,0.51,207.69,-9.23,1.15,0.07,-4.94
24.16,1.34,-4.73,195.17,-8.09,4.27,-0.03,-3.61
24.26,0.69,-5.61,204.98,-6.71,5.57,-0.48,-2.36
24.34,0.78,-6.96,203.25,-4.66,7.3,-0.45,-1.53
24.44,1.52,-9.97,181.91,-2.11,9.96,-0.32,-1.46
24.54,1.68,-10.54,180.58,0.62,9.76,-0.4,-1.78
24.63,1.26,-9.78,188.28,3.47,8.61,-0.49,-2.56
24.72,0.23,-10.25,175.65,6.0,8.2,-0.39,-3.44
24.82,0.75,-10.95,162.15,8.02,10.57,0.36,-3.85
25.01,1.35,-11.51,161.21,9.37,10.22,0.86,-3.83
25.01,0.99,-10.73,170.4,10.11,5.51,0.57,-3.0
25.08,0.18,-7.62,176.55,9.74,2.57,0.72,-2.0
25.2,-0.21,-5.8,164.9,8.73,2.06,1.0,-1.41
25.26,0.19,-3.57,155.7,7.11,2.35,2.07,-1.35
25.36,-0.01,0.21,170.88,4.83,0.02,2.66,-2.11
25.44,-0.95,4.19,179.56,2.03,-4.82,2.43,-3.16
25.55,-1.5,7.82,165.31,-0.99,-6.07,2.92,-4.21
25.65,-1.06,9.32,168.33,-4.0,-5.42,3.21,-5.26
25.72,-0.72,8.27,182.06,-7.13,-12.14,3.34,-6.09
25.92,-0.84,5.67,174.73,-9.36,-12.6,2.98,-6.41
25.92,-2.13,5.56,170.61,-10.54,-6.48,2.48,-5.98
26.01,-2.86,7.55,174.41,-10.89,-4.73,2.39,-5.04
26.09,-2.07,8.47,176.13,-10.38,-2.8,2.16,-3.58
26.2,-2.11,9.0,179.29,-8.89,-1.25,2.07,-2.19
26.29,-2.68,10.55,187.28,-6.44,1.15,2.0,-1.32
26.37,-2.74,11.23,194.84,-3.29,3.5,1.29,-0.98
26.47,-2.15,10.44,190.44,-0.34,4.06,0.86,-1.38
26.58,-1.59,9.94,196.49,2.43,3.81,0.94,-2.19
26.66,-1.29,6.86,209.11,6.04,6.26,-0.12,-3.0
26.84,-1.04,2.11,211.34,8.78,7.33,-0.95,-3.66
26.84,-0.32,-0.36,212.4,9.91,3.2,-0.86,-3.65
26.93,0.8,-2.82,209.57,10.67,0.92,-1.14,-2.98
27.01,0.61,-5.22,207.71,10.72,-0.25,-1.44,-1.93
27.11,-0.1,-6.43,217.75,9.79,-5.16,-1.74,-1.21
27.2,-0.47,-8.78,210.84,7.87,-9.55,-1.89,-1.13
27.3,-0.2,-10.71,189.61,4.81,-9.52,-1.09,-1.77
27.39,0.05,-9.86,185.95,1.76,-9.52,-0.22,-2.85
27.48,-0.47,-9.93,186.4,-0.2,-9.35,0.07,-3.94
27.58,-0.72,-11.09,175.5,-2.62,-6.51,0.1,-5.12
27.76,-0.1,-10.71,165.27,-5.4,-3.71,-0.02,-6.01
27.77,0.85,-9.65,163.12,-7.36,-1.73,0.23,-6.48
27.83,0.6,-8.07,170.19,-8.57,0.47,0.17,-6.19
27.94,0.04,-7.43,170.16,-8.97,6.79,0.24,-5.17
28.04,-0.03,-6.34,166.69,-8.79,12.19,0.65,-3.89
28.12,0.78,-5.25,166.9,-7.4,13.91,0.68,-2.53
28.22,0.52,-4.85,168.82,-5.57,15.81,0.93,-1.58
28.31,-1.08,-2.15,170.04,-3.16,15.89,1.31,-1.33
28.4,-1.35,1.05,164.25,-0.13,16.81,1.55,-1.65
28.48,-0.97,2.56,164.11,2.81,18.16,1.56,-2.49
28.67,-1.29,4.32,171.05,5.13,11.33,2.15,-3.29
28.67,-2.05,6.83,172.87,7.21,5.74,2.83,-3.87
28.75,-1.95,9.02,172.77,9.12,5.0,3.1,-3.84
28.86,-1.97,10.59,170.41,9.59,-2.99,3.04,-3.13
28.95,-1.82,11.82,171.22,9.24,-9.43,2.78,-2.11
29.05,-1.21,13.18,183.63,8.24,-10.52,2.6,-1.2
29.14,-2.01,14.07,189.05,6.52,-13.91,2.6,-1.11
29.23,-2.85,13.13,180.12,4.31,-16.03,2.87,-1.71
29.32,-1.71,10.28,182.12,1.61,-14.88,0.91,-2.7
29.42,-0.77,9.64,199.76,-1.47,-15.96,-0.32,-3.87
29.6,-1.15,9.15,203.64,-4.44,-16.63,0.42,-4.98
29.61,-1.34,5.52,201.59,-6.47,-10.08,-0.93,-5.86
29.69,-1.24,3.68,209.87,-7.97,-4.95,-1.36,-6.24
29.79,-0.41,1.21,204.61,-8.79,-2.92,-0.19,-5.98
29.86,0.1,-2.11,200.38,-8.78,1.06,-0.18,-5.05
29.97,-0.62,-2.19,209.76,-8.48,3.4,-0.33,-3.75
30.04,-0.08,-3.13,202.38,-7.21,5.82,-0.19,-2.46
30.15,1.09,-5.28,195.48,-5.24,8.21,-0.23,-1.39
30.23,1.73,-5.86,203.78,-2.65,9.23,-0.38,-1.12
30.33,1.29,-5.97,206.68,0.06,8.49,-0.47,-1.45
30.52,0.69,-8.37,194.49,2.7,8.24,-0.53,-2.18
30.52,1.25,-10.49,183.83,5.27,8.38,-0.55,-3.23
30.6,1.12,-11.13,181.73,7.53,5.88,-0.78,-3.95
30.7,0.94,-11.61,183.17,9.21,3.44,-0.8,-4.19
30.78,1.01,-11.0,175.21,10.02,4.38,0.15,-3.58
30.88,1.18,-10.44,161.02,10.11,3.56,0.52,-2.53
30.97,1.04,-10.14,162.26,8.86,-0.46,0.33,-1.68
31.07,0.78,-8.88,170.17,7.35,0.62,1.4,-1.35
31.16,0.36,-6.16,164.28,5.49,-0.01,1.56,-1.86
31.26,-0.53,-3.51,159.45,2.79,-3.3,0.64,-2.78
31.44,-0.93,0.0,165.13,-0.21,-3.45,2.24,-3.81
31.44,-0.91,3.59,165.9,-2.84,-2.89,3.49,-4.84
31.52,-0.68,4.35,166.17,-5.5,-1.89,2.64,-5.79
31.63,-0.94,3.13,170.61,-8.06,-0.97,2.12,-6.26
31.7,-0.95,2.31,168.7,-9.34,2.43,1.51,-5.91
31.82,-1.09,4.29,172.27,-10.49,-0.93,1.87,-4.98
31.89,-1.65,6.77,174.23,-10.58,-2.94,2.44,-3.68
31.99,-2.75,7.07,169.63,-8.95,2.48,1.99,-2.36
32.07,-3.52,7.57,172.54,-6.65,2.49,1.53,-1.46
32.18,-2.31,9.83,184.16,-4.23,2.22,1.45,-0.99
32.38,-1.76,10.92,196.64,-1.57,3.38,1.5,-1.38
32.38,-2.65,10.85,192.05,1.59,3.48,1.4,-2.17
32.46,-2.55,11.22,192.27,4.36,1.48,1.43,-2.93
32.53,-1.5,10.15,203.27,7.15,1.24,0.53,-3.69
32.64,-1.4,7.78,203.33,9.11,2.09,-0.14,-3.84
32.73,-1.17,3.43,208.0,10.05,-0.52,-0.23,-3.3
32.81,-0.36,-1.51,219.38,10.96,-1.46,-1.55,-2.3
32.92,-0.8,-3.3,214.14,10.54,-2.75,-2.19,-1.39
32.99,-0.18,-4.94,200.76,8.39,-6.05,-1.67,-1.11
33.1,0.9,-7.76,197.21,5.48,-8.82,-1.39,-1.58
33.29,0.24,-9.26,196.25,2.8,-10.07,-1.03,-2.7
33.29,-0.93,-10.32,185.19,0.24,-8.43,-0.35,-3.85
33.39,-1.1,-12.01,170.6,-2.36,-6.83,-0.01,-5.05
33.45,0.02,-12.08,167.42,-4.7,-6.17,-0.17,-6.05
33.55,0.01,-9.69,178.27,-6.8,-3.56,0.09,-6.54
33.64,-0.19,-7.72,175.5,-8.45,-0.67,0.28,-6.53
33.74,0.49,-6.85,161.14,-9.09,2.75,0.0,-5.64
33.84,0.77,-6.43,156.41,-8.7,10.23,0.3,-4.43
33.93,0.18,-6.58,167.32,-7.85,12.23,0.7,-3.23
34.01,-0.06,-6.74,172.66,-5.8,11.79,0.57,-2.05
34.2,0.04,-5.24,161.94,-3.33,16.72,0.51,-1.66
34.2,-0.52,-2.47,162.29,-0.66,18.29,0.75,-2.04
34.28,-0.93,1.36,171.59,2.05,14.21,1.75,-2.89
34.37,-1.34,5.32,171.94,4.72,11.23,2.48,-3.58
34.46,-1.96,9.05,172.2,7.24,8.92,2.36,-4.15
34.57,-2.73,12.2,174.81,8.37,0.64,2.12,-4.08
34.66,-2.39,13.0,185.56,8.97,-7.64,2.13,-3.46
34.75,-1.43,11.66,194.56,9.44,-8.65,1.69,-2.59
34.84,-1.67,9.67,195.61,9.62,-6.28,-0.55,-1.57
34.93,-2.07,5.89,210.27,8.49,-7.89,-1.66,-1.19
35.11,-1.46,-0.61,221.12,5.96,-11.41,-0.89,-1.65
35.13,-0.37,-3.95,208.81,3.46,-9.57,-0.94,-2.52
35.22,-0.44,-4.81,200.46,0.37,-8.56,-1.38,-3.64
35.29,-1.14,-9.07,206.65,-2.57,-9.83,-1.45,-4.76
35.4,-0.78,-12.73,196.07,-4.71,-7.84,-1.16,-5.7
35.5,-0.04,-11.1,181.65,-6.74,-5.43,-0.63,-6.34
35.59,0.45,-8.65,182.94,-8.37,-2.97,-0.1,-6.3
35.66,0.48,-8.95,180.38,-9.01,0.06,-0.1,-5.55
