Time[s],RateRoll[deg/s],RatePitch[deg/s],RateYaw[deg/s],AccX[m/s^2],AccY[m/s^2],AccZ[m/s^2],Torque[Ncm]
14.98,-0.2,0.1,-30.65,9.68,-1.82,0.95,-0.27
15.09,-0.18,0.1,-30.59,9.67,-1.81,0.89,-0.27
15.18,-0.17,0.08,-30.6,9.65,-1.84,0.87,-0.27
15.25,-0.2,0.08,-30.55,9.66,-1.84,0.89,-0.27
15.46,-0.14,0.04,-30.47,9.68,-1.81,0.89,-0.26
15.46,-0.14,0.02,-30.59,9.66,-1.82,0.91,-0.26
15.55,-0.17,0.08,-30.75,9.67,-1.83,0.93,-0.26
15.63,-0.14,0.07,-30.71,9.7,-1.81,0.92,-0.26
15.73,-0.15,0.08,-30.81,9.69,-1.81,0.9,-0.26
15.84,-0.06,0.05,-30.85,9.67,-1.82,0.89,-0.26
15.91,0.08,-0.05,-30.72,9.67,-1.79,0.93,-0.26
15.99,-0.04,-0.01,-30.76,9.69,-1.8,0.94,-0.26
16.1,-0.23,0.01,-30.77,9.66,-1.85,0.9,-0.26
16.2,-0.18,0.09,-30.67,9.65,-1.86,0.92,-0.26
16.39,-0.15,0.14,-30.69,9.69,-1.87,0.93,-0.26
16.39,-0.2,0.03,-30.72,9.69,-1.87,0.95,-0.26
16.47,-0.13,0.08,-30.63,9.67,-1.83,0.98,-0.26
16.56,-0.13,0.1,-30.63,9.71,-1.85,0.94,-0.26
16.64,-0.23,0.03,-30.65,9.76,-1.87,0.93,-0.26
16.73,-0.16,-0.0,-30.61,9.7,-1.86,0.97,-0.26
16.83,-0.08,0.02,-30.65,9.65,-1.88,0.97,-0.26
16.93,-0.14,0.07,-30.75,9.71,-1.88,0.96,-0.26
17.02,-0.14,0.05,-30.82,9.68,-1.85,0.95,-0.26
17.12,-0.16,0.12,-30.86,9.63,-1.83,0.92,-0.26
17.34,-0.17,0.18,-30.81,9.67,-1.85,0.9,-0.26
17.35,-0.1,0.05,-30.72,9.69,-1.87,0.92,-0.26
17.39,-0.1,-0.01,-30.69,9.67,-1.83,0.95,-0.26
17.47,-0.05,0.08,-30.73,9.65,-1.79,0.88,-0.26
17.57,-0.11,0.16,-30.66,9.66,-1.83,0.85,-0.26
17.67,-0.18,0.19,-30.57,9.7,-1.87,0.93,-0.26
17.74,-0.15,0.17,-30.71,9.71,-1.86,0.93,-0.26
17.85,-0.22,0.11,-30.7,9.67,-1.85,0.9,-0.26
17.94,-0.32,0.05,-30.66,9.7,-1.85,0.89,-0.26
18.04,-0.22,-0.03,-30.82,9.7,-1.86,0.89,-0.26
18.28,-0.04,0.09,-30.81,9.65,-1.88,0.91,-0.27
18.28,-0.07,0.23,-30.66,9.68,-1.84,0.89,-0.27
18.29,-0.13,0.03,-30.69,9.71,-1.79,0.91,-0.27
18.39,-0.11,-0.07,-30.71,9.67,-1.81,0.96,-0.27
18.49,-0.12,0.05,-30.7,9.64,-1.85,0.99,-0.27
18.58,-0.16,0.18,-30.82,9.67,-1.82,0.98,-0.27
18.68,-0.27,0.17,-30.76,9.69,-1.78,0.95,-0.27
18.76,-0.22,0.07,-30.67,9.71,-1.8,0.94,-0.27
18.87,-0.13,0.08,-30.7,9.72,-1.85,0.88,-0.27
18.94,-0.28,0.01,-30.66,9.7,-1.87,0.89,-0.27
19.15,-0.29,0.05,-30.63,9.69,-1.85,0.95,-0.28
19.15,-0.14,0.14,-30.68,9.67,-1.84,0.9,-0.28
19.24,-0.1,-0.02,-30.8,9.64,-1.89,0.91,-0.27
19.32,-0.18,-0.09,-30.81,9.67,-1.91,0.95,-0.28
19.4,-0.2,0.08,-30.68,9.68,-1.83,0.96,-0.28
19.51,-0.14,0.16,-30.6,9.69,-1.8,0.95,-0.28
19.58,-0.18,0.06,-30.55,9.71,-1.81,0.9,-0.28
19.68,-0.14,0.04,-30.6,9.72,-1.84,0.89,-0.28
19.77,-0.06,0.09,-30.75,9.69,-1.86,0.88,-0.28
19.87,-0.05,-0.01,-30.82,9.64,-1.9,0.89,-0.29
20.06,-0.15,-0.03,-30.72,9.67,-1.93,0.94,-0.29
20.06,-0.17,0.09,-30.75,9.71,-1.89,0.94,-0.29
20.15,-0.11,0.05,-30.86,9.7,-1.84,0.92,-0.29
20.25,-0.14,0.04,-30.66,9.69,-1.83,0.92,-0.29
20.32,-0.06,0.1,-30.57,9.68,-1.84,0.96,-0.29
20.42,0.03,0.15,-30.75,9.69,-1.83,0.94,-0.29
20.51,-0.02,0.1,-30.78,9.7,-1.82,0.85,-0.29
20.63,-0.15,-0.02,-30.73,9.66,-1.85,0.86,-0.29
20.7,-0.18,0.04,-30.78,9.66,-1.85,0.94,-0.29
20.78,-0.12,0.18,-30.73,9.7,-1.82,0.94,-0.29
20.98,-0.19,0.18,-30.61,9.67,-1.83,0.91,-0.29
21.0,-0.23,0.07,-30.6,9.64,-1.87,0.95,-0.29
21.07,-0.2,0.02,-30.67,9.63,-1.87,0.96,-0.27
21.15,0.09,1.14,-167.94,9.61,-2.08,0.69,0.26
21.25,-0.45,1.35,-373.05,8.63,0.62,0.65,0.94
21.35,-1.55,-2.5,-370.37,5.82,7.67,0.63,0.82
21.44,-0.83,-4.9,-315.67,1.74,11.41,0.18,0.73
21.52,-0.32,-2.19,-327.3,-2.76,9.78,0.39,0.72
21.63,-1.62,1.48,-325.47,-6.8,6.67,1.08,0.82
21.72,-1.93,2.84,-342.27,-8.96,1.16,1.23,0.92
21.92,-0.56,2.26,-349.87,-8.32,-5.58,0.9,1.13
21.92,-0.05,2.79,-353.78,-6.3,-9.79,0.87,1.38
21.99,-1.33,1.93,-369.13,-2.28,-7.09,0.82,1.59
22.09,-2.58,-2.95,-370.31,4.14,-0.42,0.34,1.68
22.17,-1.94,-4.49,-374.37,8.57,-2.93,0.37,1.66
22.28,-0.48,0.32,-391.59,9.89,-8.04,0.78,1.52
22.36,-0.54,4.22,-387.69,9.41,1.69,1.39,1.24
22.44,-1.12,4.77,-348.48,6.66,10.89,1.59,1.01
22.55,-1.21,4.0,-306.84,2.41,9.08,0.91,0.87
22.63,-1.49,1.74,-281.24,-2.03,9.66,0.78,0.77
22.83,-1.89,1.36,-301.84,-5.64,8.67,0.95,0.81
22.83,-2.01,3.14,-350.85,-8.21,4.17,0.95,0.89
22.91,-1.68,2.45,-359.39,-8.62,2.16,1.14,1.05
23.0,-1.58,0.57,-352.54,-5.65,-1.21,1.15,1.21
23.09,-1.55,0.45,-356.31,-1.65,-5.41,1.31,1.39
23.2,-1.61,0.95,-358.47,2.75,-5.27,1.69,1.5
23.29,-2.05,1.15,-367.53,8.36,-1.43,1.4,1.51
23.36,-2.09,2.13,-373.85,11.03,2.59,1.34,1.41
23.47,-1.55,3.59,-366.47,9.84,6.95,2.0,1.25
23.54,-0.92,4.14,-343.82,7.88,9.88,1.69,1.06
23.75,-0.64,2.43,-268.55,4.35,9.38,0.91,0.88
23.75,-0.48,-0.1,-118.63,1.17,9.25,0.8,0.7
23.83,-0.13,-0.23,-11.75,0.96,10.04,0.9,0.74
23.91,-0.38,0.43,-121.19,0.92,10.08,0.89,1.01
24.01,-1.87,1.14,-328.59,-1.6,9.43,1.04,1.05
24.12,-3.43,3.2,-382.04,-5.77,7.08,1.19,0.89
24.2,-3.19,4.16,-357.26,-9.15,1.82,1.41,0.98
24.3,-1.67,2.85,-371.44,-9.86,-4.11,1.76,1.17
24.39,-0.93,1.35,-375.12,-7.05,-6.37,1.62,1.33
24.48,-0.86,0.3,-361.47,-2.36,-9.84,1.22,1.52
24.7,-0.25,0.46,-356.04,2.13,-14.65,1.22,1.64
24.7,0.26,1.99,-363.06,6.38,-10.05,1.84,1.6
24.74,-0.34,1.48,-374.69,9.54,-2.84,1.7,1.47
24.84,-1.15,-0.06,-373.34,9.73,-0.84,1.03,1.22
24.94,-1.49,-0.51,-354.72,6.8,3.71,1.58,1.02
25.03,-1.42,-1.49,-340.22,2.59,9.47,1.4,0.87
25.13,-0.99,-1.4,-348.89,-1.95,10.05,0.4,0.8
25.2,-0.07,-0.98,-366.84,-6.08,8.03,0.38,0.8
25.3,0.48,-2.19,-375.37,-7.97,6.58,0.25,0.88
25.4,-0.31,-2.89,-379.36,-7.73,0.84,0.08,1.1
25.61,-1.17,-3.15,-380.3,-5.33,-4.22,0.18,1.35
25.61,-1.6,-4.13,-370.42,-0.28,-3.3,0.01,1.53
25.68,-2.05,-5.13,-359.03,4.75,-6.22,0.1,1.6
25.76,-2.49,-6.09,-361.97,8.57,-4.84,0.11,1.59
25.87,-2.17,-6.27,-367.26,11.1,5.14,-0.31,1.47
25.95,-1.02,-5.53,-360.01,10.35,8.79,-0.15,1.25
26.04,-0.35,-5.63,-350.12,6.76,9.51,0.32,1.06
26.12,0.28,-5.16,-345.9,2.31,12.41,0.23,0.92
26.23,1.54,-3.87,-350.96,-2.28,12.15,0.14,0.88
26.31,2.4,-3.6,-365.76,-6.51,9.38,0.38,0.98
26.53,1.42,-3.23,-372.03,-8.92,6.43,0.49,1.11
26.53,-0.55,-2.37,-366.11,-7.9,3.17,0.17,1.29
26.6,-1.63,-1.98,-361.34,-5.02,-3.16,0.21,1.43
26.67,-2.1,-1.96,-360.42,-1.28,-8.21,0.62,1.52
26.78,-2.08,-1.49,-362.85,3.64,-8.9,0.76,1.56
26.89,-1.63,-0.91,-364.12,7.5,-9.34,1.08,1.53
26.95,-1.66,-1.49,-360.94,9.53,-3.61,1.03,1.44
27.06,-1.7,-1.43,-358.1,9.28,4.05,0.62,1.22
27.15,-1.14,-0.02,-353.5,6.0,6.77,0.72,1.04
27.23,-1.02,0.75,-345.26,1.31,9.49,0.81,0.92
27.45,-1.6,1.43,-348.49,-3.34,9.06,0.68,0.89
27.45,-1.69,1.21,-359.89,-7.07,4.6,0.66,0.94
27.51,-0.75,0.58,-360.37,-9.14,-0.73,0.67,1.13
27.61,0.05,1.53,-355.01,-8.95,-6.53,0.79,1.29
27.69,0.13,2.88,-349.83,-5.35,-10.35,1.13,1.48
27.79,0.04,3.11,-345.59,0.36,-11.82,1.26,1.65
27.88,-0.29,2.72,-343.46,4.87,-11.89,0.99,1.69
27.98,-0.91,3.37,-340.81,8.71,-6.81,1.22,1.66
28.07,-1.43,4.2,-341.99,11.53,2.53,1.73,1.51
28.16,-1.64,3.75,-345.74,10.66,7.05,1.18,1.31
28.36,-1.66,3.93,-343.76,6.73,6.56,0.57,1.09
28.37,-1.81,4.98,-338.14,1.68,8.72,1.08,0.98
28.43,-2.11,3.98,-341.17,-3.2,10.76,1.47,0.95
28.53,-2.59,3.02,-351.44,-6.95,6.63,1.17,1.0
28.62,-2.35,3.05,-351.86,-9.27,0.14,1.17,1.13
28.7,-1.1,1.07,-345.43,-9.38,-5.21,1.3,1.34
28.81,-0.58,-0.39,-348.91,-6.52,-9.2,1.17,1.51
28.9,-0.38,0.31,-354.96,-1.8,-10.72,1.34,1.69
28.98,0.17,0.99,-355.13,3.21,-11.9,1.47,1.74
29.08,-0.21,1.08,-357.77,7.12,-12.87,1.3,1.68
29.29,-1.01,0.46,-357.68,9.14,-8.25,1.39,1.57
29.29,-1.43,-0.13,-354.36,9.05,-0.41,1.66,1.42
29.36,-1.31,-0.46,-358.4,6.98,6.0,1.09,1.22
29.46,-0.91,-1.24,-356.01,3.19,10.48,0.2,1.08
29.56,-0.42,-2.13,-340.77,-1.88,10.47,0.42,1.03
29.63,0.75,-3.04,-338.87,-6.33,8.06,0.64,1.06
29.71,1.15,-3.44,-351.34,-8.64,5.38,0.21,1.16
29.84,-0.2,-2.91,-351.76,-8.51,2.04,0.07,1.32
29.9,-1.55,-2.8,-345.19,-5.8,-0.65,0.15,1.51
30.0,-1.98,-3.24,-343.0,-1.9,-6.07,0.47,1.68
30.21,-1.89,-2.55,-350.28,2.06,-11.72,0.94,1.77
30.21,-1.26,-0.95,-370.47,6.25,-8.71,1.02,1.71
30.29,-0.56,-0.0,-379.46,9.17,-3.56,0.62,1.55
30.37,-0.68,1.07,-370.83,9.12,-0.84,0.29,1.37
30.45,-0.86,2.48,-359.41,6.23,4.87,0.47,1.18
30.56,-1.01,2.92,-347.78,1.96,8.9,0.74,1.04
30.64,-1.75,2.86,-331.21,-2.57,7.77,0.86,1.02
30.76,-1.69,1.76,-294.29,-6.62,5.97,0.9,1.09
30.83,-1.07,1.3,-291.67,-9.11,2.96,0.96,1.2
30.93,-0.97,3.04,-343.85,-9.47,-4.09,1.07,1.34
31.13,-0.41,3.76,-361.3,-7.68,-10.38,0.83,1.54
31.13,-0.53,2.24,-351.75,-3.92,-9.75,0.53,1.73
31.2,-1.5,-1.06,-357.59,2.18,-4.08,0.51,1.84
31.29,-0.25,0.13,-367.38,7.21,-4.15,1.22,1.85
31.38,0.68,5.09,-363.8,9.55,-6.73,1.58,1.71
31.47,-1.34,2.19,-356.13,10.46,-1.63,0.6,1.48
31.56,-1.86,-3.87,-357.54,7.86,6.25,0.21,1.25
31.66,-0.94,-3.45,-343.24,3.16,11.11,0.76,1.09
31.76,-1.29,0.16,-294.51,-1.56,9.71,1.19,1.03
31.85,-1.2,1.19,-252.26,-5.34,6.82,0.91,1.03
32.04,-0.29,-0.72,-290.39,-7.64,5.88,0.47,1.16
32.04,-0.46,-1.88,-349.82,-9.44,0.07,0.61,1.3
32.12,-1.29,-0.08,-353.63,-9.45,-8.74,1.08,1.4
32.22,-0.45,2.01,-346.45,-5.66,-11.22,1.33,1.61
32.29,-0.02,2.32,-358.05,-0.58,-10.09,1.03,1.78
32.39,-2.04,-1.38,-370.71,3.7,-6.59,0.67,1.84
32.48,-2.45,-3.58,-379.21,8.07,-3.27,0.9,1.79
32.59,-0.88,2.14,-377.23,10.78,-0.92,1.36,1.65
32.67,-0.82,5.25,-354.43,10.45,5.34,1.06,1.43
32.77,-1.14,0.86,-336.14,6.62,8.03,0.6,1.27
32.96,-1.08,-2.37,-263.41,1.29,8.59,0.72,1.12
32.96,-0.59,-0.5,-101.59,-1.39,9.78,0.85,0.88
33.04,-0.02,0.77,-8.03,-1.37,9.91,0.8,0.69
33.13,-0.18,0.02,-28.41,-1.03,10.17,0.82,0.93
33.22,-0.13,-0.44,-147.15,-1.42,10.35,0.79,1.32
33.33,-0.92,-0.6,-325.82,-3.7,9.78,0.6,1.36
33.41,-2.45,1.4,-379.54,-7.58,6.75,0.81,1.22
33.49,-1.91,3.53,-349.2,-9.91,0.26,1.18,1.33
33.6,-0.99,1.48,-352.32,-8.49,-4.29,0.73,1.48
33.69,-1.38,-2.78,-356.18,-3.94,-2.19,0.12,1.65
33.89,-0.96,-2.17,-360.39,0.72,-5.45,0.67,1.8
33.89,-0.35,2.13,-357.94,5.01,-11.64,1.31,1.84
33.95,-0.43,2.76,-356.17,9.22,-8.24,0.76,1.74
34.06,-0.75,-1.65,-362.79,10.52,0.37,0.4,1.56
34.15,-1.33,-4.91,-352.41,8.81,6.77,0.83,1.34
34.23,-1.6,-0.7,-331.65,5.41,7.23,1.32,1.14
34.33,-1.69,4.28,-316.31,1.2,6.87,1.34,1.07
34.43,-1.72,2.63,-328.17,-3.31,8.12,0.84,1.03
34.52,-0.37,-2.1,-355.09,-6.97,7.82,0.45,1.09
34.63,-0.05,-2.29,-356.13,-8.53,1.64,0.49,1.23
34.87,-2.02,1.71,-347.35,-7.97,-4.9,0.96,1.43
34.87,-1.32,3.1,-350.78,-5.41,-7.32,1.2,1.63
34.89,-0.56,1.24,-356.1,-1.67,-11.6,0.9,1.78
34.97,-2.34,-3.58,-357.28,3.93,-8.87,0.28,1.84
35.07,-1.45,-3.78,-363.29,8.59,-1.6,0.73,1.79
35.16,-0.05,3.08,-363.31,9.74,2.2,2.17,1.65
35.25,-0.88,5.45,-343.38,9.16,4.56,1.67,1.47
35.35,-1.14,1.07,-326.1,6.5,5.5,0.23,1.3
35.43,-0.51,-3.84,-327.36,2.36,10.27,0.03,1.15
35.55,-0.67,-3.01,-340.16,-2.32,11.35,0.66,1.13
35.74,-1.66,1.87,-346.94,-6.56,5.67,1.11,1.19
35.75,-1.75,3.34,-347.01,-8.56,0.86,0.82,1.31
35.8,-1.39,1.17,-348.73,-8.87,-3.57,0.68,1.48
35.91,-1.39,-2.1,-347.63,-6.9,-6.27,0.5,1.66
35.98,-1.26,-3.01,-347.18,-2.5,-9.18,0.42,1.8
36.07,-1.25,0.34,-345.37,2.63,-9.1,1.07,1.92
36.17,-0.4,3.14,-343.24,7.13,-5.76,1.1,1.86
36.25,-0.19,0.65,-340.71,9.67,-3.39,0.24,1.75
36.36,-1.59,-3.12,-340.21,10.49,4.26,-0.12,1.57
36.44,-1.28,-0.5,-343.33,8.53,10.66,0.78,1.4
36.64,-0.88,4.78,-331.46,3.88,8.62,1.72,1.26
36.64,-1.63,3.68,-319.83,-0.66,7.12,1.19,1.19
36.73,-0.64,-1.34,-322.12,-4.49,9.06,0.49,1.22
36.81,-0.27,-2.1,-332.71,-7.87,6.33,0.85,1.32
36.91,-1.92,0.65,-343.55,-9.57,0.5,1.35,1.42
37.0,-1.56,2.46,-329.75,-8.63,-4.71,1.22,1.58
37.1,-0.19,2.15,-280.8,-5.97,-9.16,1.06,1.72
37.18,-0.67,-0.82,-280.83,-1.63,-6.54,0.68,1.87
37.27,-0.71,-0.22,-354.45,3.14,-5.94,0.87,1.89
37.36,-0.21,3.98,-367.24,7.24,-9.96,1.4,1.83
37.56,-0.93,1.78,-352.61,10.41,-6.59,0.41,1.72
37.57,-1.52,-4.63,-371.47,10.17,3.54,-0.07,1.55
37.67,-1.55,-4.82,-368.05,6.88,9.78,0.98,1.36
37.72,-1.55,1.37,-347.78,2.11,7.91,1.81,1.19
37.82,-1.66,4.15,-317.74,-2.66,7.06,1.49,1.15
37.91,-1.28,1.0,-315.74,-6.3,7.34,0.7,1.21
38.02,0.23,-2.47,-346.58,-8.89,5.18,0.4,1.31
38.12,-0.05,-2.97,-355.77,-9.5,-1.46,0.51,1.44
38.19,-1.77,0.12,-347.94,-6.92,-7.35,1.05,1.66
38.29,-1.06,3.23,-346.65,-1.51,-6.87,1.35,1.84
38.48,-0.38,1.51,-358.93,2.83,-9.56,1.12,1.96
38.48,-1.79,-3.12,-369.48,6.39,-10.27,0.63,1.93
38.56,-1.58,-2.05,-371.1,10.37,-5.06,0.26,1.83
38.66,-0.54,4.0,-360.43,10.64,1.45,0.98,1.64
38.75,-0.94,4.55,-332.26,7.85,8.54,1.55,1.47
38.83,-1.0,-0.74,-306.84,4.43,10.02,0.73,1.39
38.93,-0.71,-2.83,-276.63,0.39,9.28,0.27,1.27
39.03,-0.91,-0.12,-259.75,-3.65,9.39,0.8,1.24
39.11,-1.24,2.25,-297.86,-6.93,5.99,1.06,1.29
39.22,-1.49,2.54,-347.19,-9.01,-0.01,0.86,1.34
39.41,-1.31,-0.29,-354.36,-9.15,-2.74,0.6,1.46
39.41,-1.17,-2.92,-354.8,-7.05,-6.24,0.6,1.68
39.49,-0.88,-0.39,-368.01,-3.39,-14.23,1.27,1.87
39.58,-0.18,2.53,-363.87,2.73,-13.47,1.25,1.93
39.66,-0.26,1.5,-363.05,8.09,-6.6,0.55,1.93
39.77,-1.06,-2.2,-363.33,9.14,-2.46,0.82,1.75
39.86,-1.71,-3.42,-350.93,8.94,1.3,1.09,1.53
39.94,-1.26,1.01,-340.35,7.31,6.13,1.08,1.33
40.04,-0.63,3.14,-300.09,3.25,11.08,1.15,1.22
40.14,-0.85,0.76,-246.93,-0.94,10.33,0.83,1.16
40.34,-0.56,-0.16,-146.24,-3.68,8.22,0.71,1.14
40.34,-0.15,0.15,-22.28,-4.14,9.23,0.8,1.2
40.41,-1.1,0.66,-135.87,-4.32,9.04,0.94,1.48
40.5,-1.79,2.29,-361.03,-6.49,5.58,1.0,1.46
40.58,-1.28,3.17,-378.35,-9.13,-0.6,0.79,1.35
40.7,-1.02,1.08,-336.51,-9.11,-2.7,0.6,1.53
40.76,-0.75,-1.17,-354.1,-6.43,-6.37,0.69,1.75
40.88,-0.71,0.19,-354.9,-2.38,-13.24,1.38,1.96
40.96,-0.49,2.82,-347.97,3.18,-11.56,1.46,2.11
41.04,-0.38,1.15,-357.8,7.8,-6.39,0.68,2.02
41.23,-1.36,-4.04,-366.04,10.12,1.64,0.29,1.86
41.24,-1.66,-3.89,-355.11,10.02,6.78,0.73,1.69
41.33,-1.21,1.9,-325.38,7.06,4.8,1.4,1.5
41.41,-0.93,3.9,-290.16,3.23,7.77,1.04,1.37
41.51,0.24,0.09,-295.22,-0.79,11.72,0.57,1.28
41.59,0.84,-2.79,-340.75,-4.88,9.25,0.67,1.28
41.7,-1.3,0.44,-365.69,-8.3,3.93,1.0,1.34
41.78,-2.21,3.49,-351.27,-9.3,0.54,1.35,1.47
41.89,-0.68,2.77,-339.27,-7.56,-4.33,1.13,1.7
41.98,-1.23,1.39,-347.34,-4.18,-7.51,0.63,1.92
42.19,-2.43,-1.67,-355.86,1.47,-3.82,0.1,2.05
42.19,-1.0,-0.91,-362.25,6.22,-4.47,0.76,2.05
42.24,0.1,3.82,-357.35,9.06,-7.52,1.46,1.93
42.35,-0.95,2.86,-343.48,10.85,-2.18,0.65,1.73
42.45,-1.44,-2.67,-328.43,9.02,5.85,0.33,1.59
42.51,-1.09,-4.6,-316.07,5.42,9.62,0.46,1.49
42.62,-1.21,-0.95,-319.6,1.59,11.11,0.72,1.42
42.71,-1.2,3.12,-329.65,-2.9,10.43,1.2,1.35
42.79,-1.73,2.91,-349.13,-6.93,5.96,1.08,1.33
42.89,-1.61,-1.04,-363.72,-9.02,3.39,0.56,1.38
43.1,-0.56,-3.37,-362.8,-8.71,-1.38,0.52,1.53
43.1,-1.09,-0.78,-361.65,-6.63,-11.25,1.28,1.7
43.16,-1.09,2.53,-347.75,-1.35,-13.39,1.48,1.86
43.27,-0.15,2.92,-343.82,4.44,-10.22,0.97,1.93
43.36,-0.87,-0.71,-358.68,7.06,-8.31,0.74,1.86
43.44,-1.78,-4.34,-359.28,9.43,-1.23,0.43,1.75
43.53,-1.16,-1.07,-348.76,10.24,6.59,0.78,1.59
43.63,-0.92,4.04,-330.17,6.95,6.48,1.62,1.46
43.71,-1.33,4.07,-315.03,2.76,5.5,1.11,1.35
43.8,-0.34,-0.24,-320.34,-1.4,8.63,0.46,1.31
44.02,0.11,-2.78,-340.91,-5.64,9.26,0.73,1.28
44.02,-1.61,0.75,-358.58,-8.84,3.82,1.42,1.37
44.1,-1.81,3.77,-348.45,-9.07,-2.35,1.51,1.54
44.18,-0.75,2.92,-330.58,-6.89,-6.1,0.97,1.79
44.28,-1.42,0.35,-328.99,-3.91,-6.97,0.6,1.96
44.36,-1.94,-2.15,-341.78,1.17,-6.3,0.16,2.08
44.46,-0.49,0.71,-355.6,6.01,-6.9,0.88,2.08
44.54,0.35,5.26,-347.41,9.01,-6.37,1.71,1.99
44.65,-0.83,3.27,-343.15,10.45,-3.65,0.83,1.93
44.72,-1.34,-3.26,-346.1,8.93,3.57,0.15,1.8
44.94,-0.8,-5.7,-313.23,5.58,10.72,0.35,1.66
44.94,-1.12,-1.4,-291.44,1.35,9.91,0.86,1.5
45.0,-1.55,1.49,-287.27,-3.13,7.48,1.16,1.42
45.11,-2.03,1.46,-286.16,-6.59,6.84,0.89,1.42
45.19,-1.85,0.23,-329.7,-8.57,4.62,0.5,1.51
45.28,-0.26,-2.88,-353.13,-8.69,2.26,0.09,1.61
45.39,-0.37,-2.41,-345.05,-7.3,-3.8,0.53,1.78
45.46,-1.44,1.36,-344.92,-3.43,-11.27,1.35,1.91
45.57,-1.08,3.18,-348.0,2.49,-11.83,1.01,2.01
45.67,-0.9,0.14,-365.2,6.41,-7.61,0.64,2.01
45.88,-1.65,-4.35,-376.63,9.08,-2.68,0.69,1.87
45.88,-1.24,-1.78,-377.38,10.74,-0.88,0.42,1.72
45.93,-0.97,3.84,-373.44,8.05,4.81,1.05,1.54
46.01,-1.75,4.84,-341.48,3.24,11.49,1.64,1.41
46.12,-1.49,2.6,-301.48,-1.16,7.89,0.99,1.34
46.2,-0.65,-0.04,-276.43,-5.19,5.64,0.69,1.32
46.3,-0.57,-1.2,-286.77,-7.83,6.67,0.87,1.39
46.39,-1.35,-0.43,-333.82,-8.69,4.33,0.97,1.55
46.49,-1.3,1.48,-341.82,-8.11,-0.03,1.1,1.67
